boundaries,labels
0.5572789115646258,4.0
3.947392290249433,3.0
6.548027210884354,3.0
8.219863945578231,3.0
11.702857142857143,1.0
14.257052154195012,3.0
17.69360544217687,3.0
21.083718820861677,0.0
24.56671201814059,0.0
27.956825396825398,0.0
31.393378684807256,1.0
34.82993197278912,1.0
38.22004535147392,1.0
41.703038548752836,1.0
45.139591836734695,0.0
48.529705215419504,0.0
51.96625850340136,0.0
55.40281179138322,0.0
58.83936507936508,0.0
62.27591836734694,0.0
65.66603174603175,0.0
69.1025850340136,0.0
72.53913832199547,2.0
75.97569160997732,2.0
79.41224489795918,2.0
81.13052154195012,2.0
84.52063492063492,2.0
87.95718820861678,0.0
91.39374149659864,0.0
94.8302947845805,0.0
95.66621315192744,0.0
99.1027664399093,0.0
102.53931972789115,1.0
105.97587301587302,1.0
109.36598639455782,1.0
112.80253968253969,1.0
116.23909297052154,0.0
119.6756462585034,0.0
123.11219954648526,0.0
125.66639455782312,0.0
127.38467120181406,0.0
130.82122448979592,0.0
134.2577777777778,0.0
137.69433106575963,0.0
141.1308843537415,2.0
144.56743764172336,2.0
147.95755102040818,2.0
151.39410430839,2.0
154.78421768707483,2.0
158.26721088435374,0.0
161.7037641723356,0.0
165.0938775510204,0.0
166.81215419501135,1.0
170.2487074829932,1.0
171.96698412698413,1.0
175.403537414966,1.0
185.202358276644,1.0
185.20816326530613,4.0
