boundaries,labels
0.46439909297052157,4.0
4.876190476190477,2.0
7.1053061224489795,2.0
9.334421768707482,2.0
14.071292517006803,3.0
18.622403628117915,2.0
23.219954648526077,1.0
27.678185941043083,2.0
32.13641723356009,3.0
36.548208616780045,2.0
41.00643990929705,3.0
44.35011337868481,3.0
49.31918367346939,1.0
53.777414965986395,0.0
58.2356462585034,1.0
62.64743764172336,0.0
67.10566893424036,3.0
71.56390022675737,0.0
75.97569160997732,1.0
80.43392290249433,0.0
84.89215419501134,3.0
89.35038548752834,0.0
93.80861678004536,3.0
98.2204081632653,3.0
102.67863945578232,1.0
107.09043083900227,0.0
111.54866213151928,1.0
116.00689342403628,0.0
120.41868480725624,1.0
124.87691609977324,0.0
129.33514739229025,1.0
134.30421768707484,0.0
136.53333333333333,0.0
138.76244897959182,2.0
143.22068027210884,2.0
147.67891156462585,3.0
152.13714285714286,2.0
154.27337868480726,3.0
156.54893424036283,3.0
161.0071655328798,2.0
165.46539682539682,3.0
167.09079365079364,3.0
171.54902494331066,0.0
176.00725623582767,1.0
180.46548752834468,0.0
184.87727891156462,1.0
189.33551020408163,0.0
193.7473015873016,1.0
198.15909297052156,0.0
202.6637641723356,1.0
213.57714285714286,0.0
