boundaries,labels
0.46439909297052157,10.0
4.876190476190477,4.0
7.1053061224489795,4.0
9.334421768707482,4.0
14.071292517006803,4.0
18.622403628117915,4.0
23.219954648526077,4.0
27.678185941043083,4.0
32.13641723356009,4.0
36.548208616780045,4.0
41.00643990929705,4.0
44.35011337868481,4.0
49.31918367346939,5.0
53.777414965986395,0.0
58.2356462585034,4.0
62.64743764172336,7.0
67.10566893424036,7.0
71.56390022675737,3.0
75.97569160997732,3.0
80.43392290249433,4.0
84.89215419501134,4.0
89.35038548752834,8.0
93.80861678004536,4.0
98.2204081632653,4.0
102.67863945578232,3.0
107.09043083900227,6.0
111.54866213151928,4.0
116.00689342403628,6.0
120.41868480725624,4.0
124.87691609977324,2.0
129.33514739229025,0.0
134.30421768707484,2.0
136.53333333333333,4.0
138.76244897959182,4.0
143.22068027210884,4.0
147.67891156462585,4.0
152.13714285714286,4.0
154.27337868480726,4.0
156.54893424036283,4.0
161.0071655328798,4.0
165.46539682539682,3.0
167.09079365079364,0.0
171.54902494331066,6.0
176.00725623582767,5.0
180.46548752834468,2.0
184.87727891156462,4.0
189.33551020408163,5.0
193.7473015873016,4.0
198.15909297052156,2.0
202.6637641723356,9.0
213.57714285714286,6.0
