boundaries,labels
0.5572789115646258,5.0
3.947392290249433,4.0
6.548027210884354,4.0
8.219863945578231,2.0
11.702857142857143,2.0
14.257052154195012,4.0
17.69360544217687,4.0
21.083718820861677,1.0
24.56671201814059,1.0
27.956825396825398,2.0
31.393378684807256,2.0
34.82993197278912,2.0
38.22004535147392,2.0
41.703038548752836,2.0
45.139591836734695,4.0
48.529705215419504,4.0
51.96625850340136,4.0
55.40281179138322,4.0
58.83936507936508,4.0
62.27591836734694,4.0
65.66603174603175,1.0
69.1025850340136,3.0
72.53913832199547,3.0
75.97569160997732,3.0
79.41224489795918,3.0
81.13052154195012,3.0
84.52063492063492,3.0
87.95718820861678,4.0
91.39374149659864,1.0
94.8302947845805,1.0
95.66621315192744,2.0
99.1027664399093,2.0
102.53931972789115,2.0
105.97587301587302,2.0
109.36598639455782,2.0
112.80253968253969,2.0
116.23909297052154,2.0
119.6756462585034,1.0
123.11219954648526,1.0
125.66639455782312,1.0
127.38467120181406,1.0
130.82122448979592,1.0
134.2577777777778,1.0
137.69433106575963,1.0
141.1308843537415,3.0
144.56743764172336,3.0
147.95755102040818,3.0
151.39410430839,3.0
154.78421768707483,4.0
158.26721088435374,4.0
161.7037641723356,4.0
165.0938775510204,4.0
166.81215419501135,2.0
170.2487074829932,2.0
171.96698412698413,2.0
175.403537414966,2.0
185.202358276644,2.0
185.20816326530613,5.0
